name,max seats,price per plate,stars,views,min seats,region
pitrashish pride,200,850,3,1356,20,south west delhi
hotel raas vilas,200,850,3,2143,25,south delhi 
hotel thrity three,50,525,3.6,1753,10,south delhi
hotel bizzotel,300,675,4,1635,10,north delhi
bercos,50,550,3.8,1882,10,central delhi
moets stone,50,1000,4,1220,5,south east delhi
dolphin grand,250,1000,3.3,1281,20,south east delhi
richmond lee castle ,1500,1000,4,7546,200,north west delhi
sheraton ,50,2250,4.5,1267,5,south delhi
crowne plaza,500,2300,4,6645,16,east delhi
thai high,250,1000,4,2105,20,south delhi
hotel broadway,120,1000,3.7,2103,12,central delhi
hotel hanuwat palace,200,450,3.7,1683,20,south west delhi
hotel park residency,50,1290,3.2,1523,2,south delhi
hotel pooja palace,50,750,3.4,1215,2,central delhi
hotel raunak international,150,400,3.2,2610,2,central delhi
fiery grills,100,750,3,1818,2,north west delhi
dee perals banquet,1000,1000,4,6144,100,north west delhi
hotel saket 27,70,850,3.5,1931,15,south delhi
369 banquet hall,350,650,3.8,3592,50,west delhi
casa lima banquet,700,1300,4,8832,10,north west delhi
svaruchi bhoj,50,600,3,1821,5,north west delhi
bemisaal restaurant,50,750,4,1850,5,south west delhi
the muse sarovar portico,50,1400,3,1606,30,south east delhi
hotel oscar,25,650,4,1153,25,south delhi 
naivedyam,50,600,3.2,1754,2,south delhi
the beer cafe,150,600,3,1233,10,south west delhi
the umrao,100,1600,4,1891,35,south west delhi
hotel oodles,1500,1600,3.6,5910,400,south west delhi
attitude kitchen and bar,700,700,3,2232,50,central delhi
mayur hotel,300,800,3,616,25,central delhi
hotel la vista,150,750,3,783,25,central delhi
the town house cafe,390,1600,4.4,390,10,central delhi
zaika ,150,450,4,380,10,central delhi
the leela palace hotel,100,4500,4.4,567,10,north east delhi
yellow multicusine restaurant and party lounge,100,450,4,250,50,north west delhi
red bricks cafe,60,500,4.5,322,10,south delhi
chanson grand westend,80,650,3,179,10,west delhi
mystique melange,80,1250,3.4,160,20,north west delhi
de pavilion hotel,350,1200,2,13,150,south west delhi
angeethi,60,1000,3.1,1901,20,south delhi
hotel le seasons,170,900,4.1,1313,4.1,south west delhi
x pins down ,100,1200,4,1183,4,west delhi
smaaash ,200,950,2,673,25,south west delhi
mafioso,70,1100,2,18,25,south delhi
et al the lounge bar,50,500,2,18,10,west delhi
my bar grill,60,600,3,30,10,south delhi
true blue resto and bar,150,500,4,388,10,east delhi
the roxy club,50,500,3,2857,10,north west delhi
the bottleyard,200,1100,2.6,204,10,south delhi
turquoise cottage,150,700,3,1467,15,south delhi
hi mirchee,125,700,3,1923,30,south west delhi
tapas,50,500,3,1692,2,south west delhi
red chilli kitchen,150,800,2,37,25,south west delhi
rampur kitchen,40,400,3,1419,15,south delhi
zeher bar & lounge,150,1000,3,592,15,south delhi
